property_id,legacy_code,display_name,record_type,status,parent_property_id,project_legacy_code,unit_reference_hint,building_portal,floor_label,floor_level,building_door,updated_at,created_at
b7b73ef8-bc2f-4eaa-b128-f45d0fd8f6b6,PM0074-45,Unidad 45 en Orion (Manilva),unit,sold,cb0123dc-8712-4cc8-93f0-563c44e20ef4,PM0074,,,Planta 4,4,,2026-02-19T11:50:13.691196+00:00,2026-02-18T11:45:28.249854+00:00
239c6729-ba12-4bad-814c-4a8031b1437f,PM0074-46,Unidad 46 en Orion (Manilva),unit,sold,cb0123dc-8712-4cc8-93f0-563c44e20ef4,PM0074,,,Atico,5,,2026-02-19T11:50:13.797493+00:00,2026-02-18T11:45:28.249854+00:00
2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,Nylva Homes: obra nueva en Manilva,project,available,,PM0079,,,,,,2026-02-19T12:32:13.385172+00:00,2026-02-18T11:45:28.249854+00:00
65256aa3-2318-4387-be5a-2b7ee32cc7a3,PM0079-01,Unidad 1 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:14.006115+00:00,2026-02-18T11:45:28.249854+00:00
0b7f2ac4-690e-440e-b539-7e18afda04f8,PM0079-02,Unidad 2 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:14.116385+00:00,2026-02-18T11:45:28.249854+00:00
10c9181b-71eb-474b-8bba-23758823a4a9,PM0079-03,Unidad 3 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:14.230467+00:00,2026-02-18T11:45:28.249854+00:00
baaa81e3-01d9-4c93-9703-6ef738d4fd7f,PM0079-04,Unidad 4 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:14.314264+00:00,2026-02-18T11:45:28.249854+00:00
0bffb9b0-74a2-411f-82c6-3271b009454e,PM0079-05,Unidad 5 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:14.424436+00:00,2026-02-18T11:45:28.249854+00:00
28658853-82aa-45ee-beb5-6b230fff4777,PM0079-06,Unidad 6 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:14.510919+00:00,2026-02-18T11:45:28.249854+00:00
259383f8-205b-441a-b33c-f16864b6d5d4,PM0079-07,Unidad 7 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:14.602885+00:00,2026-02-18T11:45:28.249854+00:00
96ff91a0-1785-4e7f-abe8-78abfafc7145,PM0079-08,Unidad 8 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:14.685262+00:00,2026-02-18T11:45:28.249854+00:00
ce7a686e-8d5a-4df6-9d06-e424d08e621b,PM0079-09,Unidad 9 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:14.772408+00:00,2026-02-18T11:45:28.249854+00:00
5e77f7ca-c121-4c56-86d2-35dad8ccca76,PM0079-10,Unidad 10 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:14.870358+00:00,2026-02-18T11:45:28.249854+00:00
a168647e-b426-4150-a45e-bbe751934b5e,PM0079-11,Unidad 11 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:14.956897+00:00,2026-02-18T11:45:28.249854+00:00
61d2bf13-0ea1-4952-8160-bc23fc2feb62,PM0079-12,Unidad 12 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:15.050814+00:00,2026-02-18T11:45:28.249854+00:00
38538e82-5301-4126-b608-b15ca92c7e25,PM0079-13,Unidad 13 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:15.142243+00:00,2026-02-18T11:45:28.249854+00:00
44f4d89c-1249-454d-a2ee-0f949f707054,PM0079-14,Unidad 14 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:15.249686+00:00,2026-02-18T11:45:28.249854+00:00
7bd80fe6-e034-4c85-9ce2-c822a7378660,PM0079-15,Unidad 15 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:15.343888+00:00,2026-02-18T11:45:28.249854+00:00
cfc7ae4a-2bb6-4446-bed5-ad6088e3c760,PM0079-16,Unidad 16 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:15.423437+00:00,2026-02-18T11:45:28.249854+00:00
e3f2119a-d406-49e5-b066-b79ee28aca4a,PM0079-17,Unidad 17 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:15.522883+00:00,2026-02-18T11:45:28.249854+00:00
6dddde94-3481-41f3-983b-71a91833bba8,PM0079-18,Unidad 18 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:15.601348+00:00,2026-02-18T11:45:28.249854+00:00
9edbf057-2342-4ae1-b236-cb2584584605,PM0079-19,Unidad 19 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:15.692954+00:00,2026-02-18T11:45:28.249854+00:00
c5f378e9-5635-4ca8-934f-e18318946b06,PM0079-20,Unidad 20 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:15.778226+00:00,2026-02-18T11:45:28.249854+00:00
7a335361-f83e-43bc-9005-2e9297ca9553,PM0079-21,Unidad 21 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:15.869443+00:00,2026-02-18T11:45:28.249854+00:00
78520a44-ef45-4b43-9c89-896982d14dc2,PM0079-22,Unidad 22 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:15.959195+00:00,2026-02-18T11:45:28.249854+00:00
90e167ad-9474-4736-82a3-9cd5117d6725,PM0079-23,Unidad 23 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta baja,0,,2026-02-19T11:50:16.047484+00:00,2026-02-18T11:45:28.249854+00:00
d2c5bce6-b9fd-44e7-a8ff-96113d88440f,PM0079-24,Unidad 24 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:16.126339+00:00,2026-02-18T11:45:28.249854+00:00
4be79ef5-4959-4ad7-8f0f-5422b34dd0be,PM0079-25,Unidad 25 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:16.216514+00:00,2026-02-18T11:45:28.249854+00:00
005fbd9c-de8f-4d85-af7a-1a896ee1e594,PM0079-26,Unidad 26 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:16.312486+00:00,2026-02-18T11:45:28.249854+00:00
06b95c87-ae52-484f-9ba0-e9b4deb5e0da,PM0079-27,Unidad 27 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:16.39772+00:00,2026-02-18T11:45:28.249854+00:00
82816421-e5e3-4b78-9436-cca816ffc6a2,PM0079-28,Unidad 28 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:16.477702+00:00,2026-02-18T11:45:28.249854+00:00
